A,Presente de Indicativo,Respuesta
1,"Guardan  todos los documentos importantes en una caja fuerte. (guardar, ellos)",guardan
2,"Siempre ________________ la basura en los contenedores correspondientes. (tirar, yo)",tiro
3,"Fernando _______________ a su hija en la frente cada noche. (besar, él)",besa
4,"Cada vez que _______________ por la ventana, ves el mismo paisaje hermoso. (mirar, tú)",miras
5,"Cuando veo una película de terror, siempre _______________ porque me asusto mucho. (gritar, yo)",grito
6,"Cada mañana, Marta _______________ a las seis para hacer ejercicio antes de ir al trabajo. (levantarse, ella)",se levanta
7,"¿Dónde _______________ para la reunión de esta tarde? (quedar, nosotros)",quedamos
8,"Muchos artistas colombianos _______________ bien. (cantar, ellos)",cantan
9,"Cuando hacéis el trabajo en equipo, _______________ de manera muy eficiente. (funcionar, vosotros)",funcionáis
10,"¿Cómo _______________ a tu amigo en momentos difíciles? (apoyar, tú)",apoyas
11,"Los alumnos siempre _______________ los libros a la biblioteca antes de la fecha de vencimiento. (devolver, ellos)",devuelven
12,"Cada vez que juego a este videojuego, _______________ todos los obstáculos en mi camino. (destruir, yo)",destruyo
13,"¿Por qué _______________ tan rápido hoy? (andar, tú)",andas
14,"Angela _______________ un lugar tranquilo para descansar. (buscar, ella)",busca
15,"Ahora _______________ una merienda equilibrada para los niños. (servir, yo)",sirvo
16,La comida _______________ deliciosa. (oler),huele
17,Yo _______________ mi bicicleta y me dirijo hacia el parque cada mañana. (montar),monto
18,"Ganarás la jugada, pero sólo si _______________ la palabra correctamente. (adivinar)",adivinas
19,Nosotros _______________ mucha suerte de contar con alguien con su experiencia. (tener),tenemos
20,"Elisa y tú _______________ a la biblioteca, ¿verdad? (venir)",venis
21,Los niños _______________ en el parque todas las tardes después de la escuela. (jugar),juegan
22,Siempre vosotros _______________ juntos en la biblioteca antes de los exámenes. (estudiar),estudiáis
23,Yo _______________ la vida que quiero. (construir),construyo
24,Mi sobrina siempre _______________ en su diario antes de irse a dormir. (escribir),escribe
25,"Ellos no _______________ las reglas del juego, así que es mejor explicarlas. (concocer)",conocen
26,¿Tú _______________ al supermercado para comprar ingredientes para la cena? (ir),vas
27,Mi pareja _______________ mucho dinero en compras por internet. (gastar),gasta
28,Yo _______________ con mis mejores amigos hasta el final. (contar),cuento
29,Martín _______________ cómo arreglar la radio sin problemas. (saber),sabe
30,_______________ la competencia del debate gracias a nuestra preparación exhaustiva. (ganar),ganamos
31,"Cada mañana _______________  mi cama antes de salir de casa. (arreglar, yo)",arreglo
32,"Cecilia y Antonio _______________ de su viaje a Chile con buenas impresiones. (regresar, ellos)",regresan
33,"Durante las vacaciones, _______________ de la playa y del sol. (disfrutar, nosotros)",disfrutamos
34,"Hola, ¿con quién _______________ hablar? (desear, usted)",desea
35,"Últimamente, _______________ tus llaves en la entrada de la casa. (olvidar, tú)",olvidas
36,"Carolina siempre _______________ muchas cartas de sus amigos venezolanos. (recibir, ella)",recibe
37,"_______________ los muebles de lugar para tener más espacio. (cambiar, nosotros)",cambiamos
38,"¿Por qúe _______________ a los niños tener una hora extra de televisión? (permitir, vosotros)",permitís
39,"¿_______________ la música que está sonando en el fondo? (escuchar, tú)",escuchas
40,"Ellos siempre _______________ juntos los domingos por la tarde. (comer, ellos)",comen
41,"¿_______________ la ropa en el tendedero después de lavarla? (colgar, vosotros)",colgáis
42,"¿Qué _______________ en la televisión esta noche? (ver, nosotros)",vemos
43,"_______________ en que tomarás las decisiones correctas. (confiar, yo)",confío
44,"Siempre _______________ las luces de la terraza antes de acostarme. (apagar, yo)",apago
45,"_______________ el piano durante una hora por la tarde, ¿verdad? (practicar, tú)",practicas
46,"Aunque hablen mal de ti, _______________ en ti. (creer, nosotros)",creemos
47,"Miguel _______________ haciendo la tarea para mañana. (continuar, él)",continúa
48,"Cada vez que Martina viaja, ella _______________ la comida local para saborearla. (probar, ella)",prueba
49,"Ana y Sara _______________ comer en restaurantes vegetarianos. (preferir, ellas)",prefieren
50,"¿_______________ ir al cine esta noche o preferís quedaros en casa? (querer, vosotros)",queréis
B,Pretérito Indefinido (Pasado),
1,"¿Cuántos vasos de agua   bebieron   durante la caminata? (beber, ellos)",bebieron
2,"¿Cuánto tiempo _______________ en la fila para comprar las entradas? (esperar, tú)",esperaste
3,"Las autoridades _______________ la entrada al evento solo a los invitados registrados. (permitir, ellos)",permitieron
